capital,company_name,garden,income_growth,is_sold,market_value,net_asset,net_capital,net_profit,net_profit_growth,net_profit_t,net_profit_t_1,net_profit_t_2,net_profit_t_3,status,stock_code,stock_share,target_income,target_industry,total_debt
87944.158972,通利农贷,股转系统挂牌股票(非园区类,,0,223200.0,,73810.57562,3591.53555,-17.897000000000002,,2948.7584326164997,2421.0191359311248,1987.729341173531,正常交易,831098.OC,59850.0,,金融、保险业,14133.583352000001
550291.384999,维泰股份,股转系统挂牌股票(非园区类,11.6054,0,12000.0,,81481.727834,3905.74604,6.9093,,4175.60575114172,4464.110879305355,4772.549692289201,正常交易,831099.OC,7200.0,54005.553368,建筑业,468808.93895299995
3653.8566579999997,玉宇环保,武汉东湖,40.1185,0,5048.4,,2827.5055079999997,-137.194291,-31.9595,,-93.347681567855,-63.51422927717639,-43.215399171337204,正常交易,831100.OC,1126.25,810.918721,建筑业,826.35115
1394.7869269999999,北京奥维,中关村,1028.9813,0,500.0,,555.213646,4.299364,237.8388,,14.524919745231998,49.07081456825483,165.7802510876173,正常交易,831101.OC,,1484.124324,信息技术业,839.5732810000001
40672.38379,湘佳牧业,股转系统挂牌股票(非园区类,47.9349,0,7625.0,,24105.528538,622.834953,2250.9103,,14642.29106207716,344227.1287343513,8092471.024810125,正常交易,831102.OC,3608.75,35615.040504,农、林、牧、渔业,16508.628458000003
81150.698761,怡达化学,股转系统挂牌股票(非园区类,14.2486,0,4980.0,,26058.547125,191.174245,135.5533,,450.3172428475851,1060.7371259965007,2498.601304609916,正常交易,831103.OC,2800.2985,49013.587177,制造业,55092.151636
1098.88543,翔维科技,股转系统挂牌股票(非园区类,15.3598,0,600.0,,668.860135,24.778146,135.8579,,58.44121481453399,137.83822199604876,325.10233579721864,正常交易,831104.OC,,752.091791,制造业,430.025295
1776.594443,桓伟电子,股转系统挂牌股票(非园区类,377.0038,0,500.0,,484.52437000000003,-79.967258,-49.7776,,-40.161476181792004,-20.170057213924306,-10.129886814205921,正常交易,831105.OC,,774.388275,制造业,1292.070073
1764.3153350000002,埃林哲,上海张江,-7.6297,0,1200.0,,1406.598225,184.164399,-49.6549,,92.71775084094902,46.67884437862663,23.500510881263963,正常交易,831106.OC,,1608.293875,信息技术业,357.71711
15665.835636000002,金科信息,福州高新区,8.4207,0,43928.0,,5612.101084000001,309.557315,44.831,,448.33495488765004,649.3279985133323,940.4282335268443,正常交易,831107.OC,329.5,9643.009285,信息技术业,10053.734552
